config_id,switch_config,feasible,termination_status,total_pshed,total_pd_served,jains,gini,palma,total_load_served_kw,sw_671692,sw_632633,sw_646611,sw_670671,sw_632645,sw_634675
24,111010,true,OPTIMAL,2508.0,958.0,0.4444444444444444,0.5555555555555556,Inf,958.0,1.0,1.0,1.0,0.0,1.0,0.0
25,000110,true,OPTIMAL,2738.0,728.0,0.4444444444444444,0.5555555555555556,Inf,728.0,0.0,0.0,0.0,1.0,1.0,0.0
26,100110,true,OPTIMAL,2738.0,728.0,0.4444444444444444,0.5555555555555556,Inf,728.0,1.0,0.0,0.0,1.0,1.0,0.0
27,010110,true,OPTIMAL,2338.0,1128.0,0.5555555555555556,0.4444444444444444,Inf,1128.0,0.0,1.0,0.0,1.0,1.0,0.0
28,110110,true,OPTIMAL,2338.0,1128.0,0.5555555555555556,0.4444444444444444,Inf,1128.0,1.0,1.0,0.0,1.0,1.0,0.0
29,001110,false,INFEASIBLE_OR_UNBOUNDED,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,1.0,1.0,1.0,0.0
30,101110,false,INFEASIBLE_OR_UNBOUNDED,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,1.0,1.0,1.0,0.0
31,011110,false,INFEASIBLE_OR_UNBOUNDED,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.0,1.0,1.0,1.0,0.0
32,111110,false,INFEASIBLE_OR_UNBOUNDED,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.0,1.0,1.0,1.0,0.0
33,000001,true,OPTIMAL,3266.0,200.0,0.1111111111111111,0.8888888888888888,Inf,200.0,0.0,0.0,0.0,0.0,0.0,1.0
34,100001,true,OPTIMAL,3266.0,200.0,0.1111111111111111,0.8888888888888888,Inf,200.0,1.0,0.0,0.0,0.0,0.0,1.0
35,010001,true,OPTIMAL,2866.0,600.0,0.2222222222222222,0.7777777777777777,Inf,600.0,0.0,1.0,0.0,0.0,0.0,1.0
36,110001,true,OPTIMAL,2866.0,600.0,0.2222222222222222,0.7777777777777777,Inf,600.0,1.0,1.0,0.0,0.0,0.0,1.0
37,001001,true,OPTIMAL,3266.0,200.0,0.1111111111111111,0.8888888888888888,Inf,200.0,0.0,0.0,1.0,0.0,0.0,1.0
38,101001,true,OPTIMAL,3266.0,200.0,0.1111111111111111,0.8888888888888888,Inf,200.0,1.0,0.0,1.0,0.0,0.0,1.0
39,011001,true,OPTIMAL,2866.0,600.0,0.2222222222222222,0.7777777777777777,Inf,600.0,0.0,1.0,1.0,0.0,0.0,1.0
40,111001,true,OPTIMAL,2866.0,600.0,0.2222222222222222,0.7777777777777777,Inf,600.0,1.0,1.0,1.0,0.0,0.0,1.0
41,000101,true,OPTIMAL,2968.0,498.0,0.3333333333333333,0.6666666666666665,Inf,498.0,0.0,0.0,0.0,1.0,0.0,1.0
42,100101,true,OPTIMAL,2866.0,600.0,0.2222222222222222,0.7777777777777777,Inf,600.0,1.0,0.0,0.0,1.0,0.0,1.0
43,010101,true,OPTIMAL,2568.0,898.0,0.4444444444444444,0.5555555555555556,Inf,898.0,0.0,1.0,0.0,1.0,0.0,1.0
44,110101,false,INFEASIBLE_OR_UNBOUNDED,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.0,0.0,1.0,0.0,1.0
45,001101,true,OPTIMAL,2908.0,558.0,0.3333333333333333,0.6666666666666665,Inf,558.0,0.0,0.0,1.0,1.0,0.0,1.0
46,101101,true,OPTIMAL,2866.0,600.0,0.2222222222222222,0.7777777777777777,Inf,600.0,1.0,0.0,1.0,1.0,0.0,1.0
47,011101,true,OPTIMAL,2508.0,958.0,0.4444444444444444,0.5555555555555556,Inf,958.0,0.0,1.0,1.0,1.0,0.0,1.0
48,111101,false,INFEASIBLE_OR_UNBOUNDED,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.0,1.0,1.0,0.0,1.0
49,000011,true,OPTIMAL,3036.0,430.0,0.2222222222222222,0.7777777777777777,Inf,430.0,0.0,0.0,0.0,0.0,1.0,1.0
50,100011,true,OPTIMAL,3036.0,430.0,0.2222222222222222,0.7777777777777777,Inf,430.0,1.0,0.0,0.0,0.0,1.0,1.0
51,010011,true,OPTIMAL,2636.0,830.0,0.3333333333333333,0.6666666666666665,Inf,830.0,0.0,1.0,0.0,0.0,1.0,1.0
52,110011,true,OPTIMAL,2636.0,830.0,0.3333333333333333,0.6666666666666665,Inf,830.0,1.0,1.0,0.0,0.0,1.0,1.0
53,001011,true,OPTIMAL,2908.0,558.0,0.3333333333333333,0.6666666666666665,Inf,558.0,0.0,0.0,1.0,0.0,1.0,1.0
54,101011,true,OPTIMAL,2866.0,600.0,0.2222222222222222,0.7777777777777777,Inf,600.0,1.0,0.0,1.0,0.0,1.0,1.0
55,011011,true,OPTIMAL,2508.0,958.0,0.4444444444444444,0.5555555555555556,Inf,958.0,0.0,1.0,1.0,0.0,1.0,1.0
56,111011,false,INFEASIBLE_OR_UNBOUNDED,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.0,1.0,0.0,1.0,1.0
57,000111,true,OPTIMAL,2738.0,728.0,0.4444444444444444,0.5555555555555556,Inf,728.0,0.0,0.0,0.0,1.0,1.0,1.0
58,100111,true,OPTIMAL,2636.0,830.0,0.3333333333333333,0.6666666666666665,Inf,830.0,1.0,0.0,0.0,1.0,1.0,1.0
59,010111,true,OPTIMAL,2338.0,1128.0,0.5555555555555556,0.4444444444444444,Inf,1128.0,0.0,1.0,0.0,1.0,1.0,1.0
60,110111,false,INFEASIBLE_OR_UNBOUNDED,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.0,0.0,1.0,1.0,1.0
61,001111,false,INFEASIBLE_OR_UNBOUNDED,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,1.0,1.0,1.0,1.0
62,101111,false,INFEASIBLE_OR_UNBOUNDED,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,1.0,1.0,1.0,1.0
63,011111,false,INFEASIBLE_OR_UNBOUNDED,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.0,1.0,1.0,1.0,1.0
64,111111,false,INFEASIBLE_OR_UNBOUNDED,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.0,1.0,1.0,1.0,1.0
