config_bits,fair_func,period,load_id,pshed
111000,efficient,1,15,169.9998266870019
111000,efficient,2,1,0.0
111000,efficient,2,2,68.0
111000,efficient,2,3,1155.0
111000,efficient,2,4,485.0
111000,efficient,2,5,128.0
111000,efficient,2,6,230.0
111000,efficient,2,7,170.0
111000,efficient,2,8,0.0
111000,efficient,2,9,0.0
111000,efficient,2,10,0.0
111000,efficient,2,11,0.0
111000,efficient,2,12,290.0
111000,efficient,2,13,170.0
111000,efficient,2,14,0.0
111000,efficient,2,15,170.0
000100,efficient,1,1,160.00000000258072
000100,efficient,1,2,67.99999998787489
000100,efficient,1,3,1109.9956839000079
000100,efficient,1,4,484.9999269709059
000100,efficient,1,5,112.99815322649798
000100,efficient,1,6,229.9999964329462
000100,efficient,1,7,170.00000328632797
000100,efficient,1,8,97.85388252340964
000100,efficient,1,9,120.00000000259463
000100,efficient,1,10,55.200236137826636
000100,efficient,1,11,120.00000000259463
000100,efficient,1,12,289.9999326288807
000100,efficient,1,13,170.00012463846383
000100,efficient,1,14,14.218203217181044
000100,efficient,1,15,154.99841885214693
000100,efficient,2,1,160.0
000100,efficient,2,2,68.0
000100,efficient,2,3,0.0
000100,efficient,2,4,485.0
000100,efficient,2,5,0.0
000100,efficient,2,6,230.0
000100,efficient,2,7,170.0
000100,efficient,2,8,0.0
000100,efficient,2,9,120.0
000100,efficient,2,10,0.0
000100,efficient,2,11,120.0
000100,efficient,2,12,290.0
000100,efficient,2,13,170.0
000100,efficient,2,14,0.0
000100,efficient,2,15,0.0
100100,efficient,1,1,159.99999982644863
100100,efficient,1,2,65.35007315706193
100100,efficient,1,3,1109.9926952825833
100100,efficient,1,4,466.0551840841048
100100,efficient,1,5,112.99606365878356
100100,efficient,1,6,229.9999996163757
100100,efficient,1,7,169.99999977662347
100100,efficient,1,8,97.8530989228114
100100,efficient,1,9,119.99999991122561
100100,efficient,1,10,55.199793820717616
100100,efficient,1,11,119.99999991122561
100100,efficient,1,12,278.6907204239812
100100,efficient,1,13,139.99263454275356
100100,efficient,1,14,14.218089330456863
100100,efficient,1,15,154.99822613050168
100100,efficient,2,1,160.0
100100,efficient,2,2,0.0
100100,efficient,2,3,0.0
100100,efficient,2,4,0.0
100100,efficient,2,5,128.0
100100,efficient,2,6,230.0
100100,efficient,2,7,170.0
100100,efficient,2,8,0.0
100100,efficient,2,9,120.0
100100,efficient,2,10,0.0
100100,efficient,2,11,120.0
100100,efficient,2,12,0.0
100100,efficient,2,13,170.0
100100,efficient,2,14,0.0
100100,efficient,2,15,0.0
010100,efficient,1,1,142.35081431454753
010100,efficient,1,2,68.00000000255952
010100,efficient,1,3,1109.995100553164
010100,efficient,1,4,484.99999881714416
010100,efficient,1,5,112.99789523131656
010100,efficient,1,6,229.99999644416653
010100,efficient,1,7,170.00000327600443
010100,efficient,1,8,97.85364939173768
010100,efficient,1,9,106.76395860027824
010100,efficient,1,10,55.20010465295947
010100,efficient,1,11,106.76395834256482
010100,efficient,1,12,289.9999990757802
010100,efficient,1,13,170.00000169999504
010100,efficient,1,14,14.218169349538828
010100,efficient,1,15,154.99828643724646
010100,efficient,2,1,0.0
010100,efficient,2,2,68.0
010100,efficient,2,3,0.0
010100,efficient,2,4,485.0
010100,efficient,2,5,0.0
010100,efficient,2,6,230.0
010100,efficient,2,7,170.0
010100,efficient,2,8,0.0
010100,efficient,2,9,0.0
010100,efficient,2,10,0.0
010100,efficient,2,11,0.0
010100,efficient,2,12,290.0
010100,efficient,2,13,170.0
010100,efficient,2,14,0.0
010100,efficient,2,15,0.0
110100,efficient,1,1,142.3506158518643
110100,efficient,1,2,65.35022394473891
110100,efficient,1,3,1109.9934084547551
110100,efficient,1,4,466.05622943366825
110100,efficient,1,5,112.9970379017082
110100,efficient,1,6,229.99999641531323
110100,efficient,1,7,170.0000033025612
110100,efficient,1,8,97.85329373436083
110100,efficient,1,9,106.76380991060107
110100,efficient,1,10,55.199903922713695
110100,efficient,1,11,106.76380922903063
110100,efficient,1,12,278.6913583468089
110100,efficient,1,13,139.99372448458357
110100,efficient,1,14,14.218117684220822
110100,efficient,1,15,154.99740967587633
110100,efficient,2,1,160.0
110100,efficient,2,2,0.0
110100,efficient,2,3,0.0
110100,efficient,2,4,0.0
110100,efficient,2,5,128.0
110100,efficient,2,6,230.0
110100,efficient,2,7,170.0
110100,efficient,2,8,0.0
110100,efficient,2,9,120.0
110100,efficient,2,10,0.0
110100,efficient,2,11,120.0
110100,efficient,2,12,0.0
110100,efficient,2,13,170.0
110100,efficient,2,14,0.0
110100,efficient,2,15,0.0
001100,efficient,1,1,160.0000000009057
001100,efficient,1,2,67.99999999371963
001100,efficient,1,3,1109.9938094644708
001100,efficient,1,4,484.9999566232921
001100,efficient,1,5,112.99815364255838
001100,efficient,1,6,199.99366136593082
001100,efficient,1,7,154.99598514683092
001100,efficient,1,8,97.85340601661989
001100,efficient,1,9,120.00000000090833
001100,efficient,1,10,55.19996752224332
001100,efficient,1,11,120.00000000090833
001100,efficient,1,12,289.99996006335135
001100,efficient,1,13,170.00007416370497
001100,efficient,1,14,14.218133979198383
001100,efficient,1,15,154.99771852342164
001100,efficient,2,1,160.0
001100,efficient,2,2,68.0
001100,efficient,2,3,0.0
001100,efficient,2,4,485.0
001100,efficient,2,5,0.0
001100,efficient,2,6,0.0
001100,efficient,2,7,0.0
001100,efficient,2,8,0.0
001100,efficient,2,9,120.0
001100,efficient,2,10,0.0
001100,efficient,2,11,120.0
001100,efficient,2,12,290.0
001100,efficient,2,13,170.0
001100,efficient,2,14,0.0
001100,efficient,2,15,0.0
101100,efficient,1,1,159.9999998241101
101100,efficient,1,2,65.35021640630345
101100,efficient,1,3,1109.9923317035712
101100,efficient,1,4,466.05619714392816
101100,efficient,1,5,112.99731926548105
101100,efficient,1,6,199.99283694297398
101100,efficient,1,7,154.99654583656888
101100,efficient,1,8,97.85268053339925
101100,efficient,1,9,119.99999990554207
101100,efficient,1,10,55.199557982541144
101100,efficient,1,11,119.99999990554205
101100,efficient,1,12,278.69133234932724
101100,efficient,1,13,139.99472364733506
101100,efficient,1,14,14.218028522158056
101100,efficient,1,15,154.99628159017672
101100,efficient,2,1,160.0
101100,efficient,2,2,0.0
101100,efficient,2,3,0.0
101100,efficient,2,4,0.0
101100,efficient,2,5,0.0
101100,efficient,2,6,0.0
101100,efficient,2,7,0.0
101100,efficient,2,8,117.0
101100,efficient,2,9,120.0
101100,efficient,2,10,66.0
101100,efficient,2,11,120.0
101100,efficient,2,12,0.0
101100,efficient,2,13,170.0
101100,efficient,2,14,17.0
101100,efficient,2,15,0.0
111100,efficient,1,1,142.34993264039542
111100,efficient,1,2,65.35012622208694
111100,efficient,1,3,1109.9914225678865
111100,efficient,1,4,466.05554867663477
111100,efficient,1,5,112.99676548954001
111100,efficient,1,6,199.99264493988827
111100,efficient,1,7,154.9960305763487
111100,efficient,1,8,97.85250953918052
111100,efficient,1,9,106.76329738374581
111100,efficient,1,10,55.19946159648691
111100,efficient,1,11,106.76329692140983
111100,efficient,1,12,278.690945756769
111100,efficient,1,13,139.99352833830827
111100,efficient,1,14,14.218003686786378
111100,efficient,1,15,154.9964562993614
111100,efficient,2,1,160.0
111100,efficient,2,2,0.0
111100,efficient,2,3,0.0
111100,efficient,2,4,0.0
111100,efficient,2,5,0.0
111100,efficient,2,6,0.0
111100,efficient,2,7,0.0
111100,efficient,2,8,117.0
111100,efficient,2,9,120.0
111100,efficient,2,10,66.0
111100,efficient,2,11,120.0
111100,efficient,2,12,0.0
111100,efficient,2,13,170.0
111100,efficient,2,14,17.0
111100,efficient,2,15,0.0
000010,efficient,1,1,160.00000000246078
000010,efficient,1,2,68.00000000247036
000010,efficient,1,3,1154.9999840504745
000010,efficient,1,4,484.999998817155
000010,efficient,1,5,128.0000099836668
000010,efficient,1,6,199.99743487397785
000010,efficient,1,7,154.99858288304102
000010,efficient,1,8,97.85413500106664
000010,efficient,1,9,120.00000000244209
000010,efficient,1,10,55.2003786587648
000010,efficient,1,11,120.00000000244209
000010,efficient,1,12,289.9999990757047
000010,efficient,1,13,170.0000016999972
000010,efficient,1,14,14.21823988313776
000010,efficient,1,15,170.00000574860115
000010,efficient,2,1,160.0
000010,efficient,2,2,68.0
000010,efficient,2,3,1155.0
000010,efficient,2,4,485.0
000010,efficient,2,5,128.0
000010,efficient,2,6,0.0
000010,efficient,2,7,0.0
000010,efficient,2,8,0.0
000010,efficient,2,9,120.0
000010,efficient,2,10,0.0
000010,efficient,2,11,120.0
000010,efficient,2,12,290.0
000010,efficient,2,13,170.0
000010,efficient,2,14,0.0
000010,efficient,2,15,170.0
100010,efficient,1,1,160.0000000026609
100010,efficient,1,2,68.00006046659553
100010,efficient,1,3,1154.999835978037
100010,efficient,1,4,484.9993467950644
100010,efficient,1,5,128.00000467723783
100010,efficient,1,6,199.99743487337622
100010,efficient,1,7,154.99858288257462
100010,efficient,1,8,97.85413498709973
100010,efficient,1,9,120.00000000230577
100010,efficient,1,10,55.20037865088589
100010,efficient,1,11,120.00000000230577
100010,efficient,1,12,289.9995139441405
100010,efficient,1,13,170.00119959650428
100010,efficient,1,14,14.218239881108031
100010,efficient,1,15,169.99986759353519
100010,efficient,2,1,160.0
100010,efficient,2,2,68.0
100010,efficient,2,3,1155.0
100010,efficient,2,4,485.0
100010,efficient,2,5,128.0
100010,efficient,2,6,0.0
100010,efficient,2,7,0.0
100010,efficient,2,8,0.0
100010,efficient,2,9,120.0
100010,efficient,2,10,0.0
100010,efficient,2,11,120.0
100010,efficient,2,12,290.0
100010,efficient,2,13,170.0
100010,efficient,2,14,0.0
100010,efficient,2,15,170.0
010010,efficient,1,1,142.3573923735855
010010,efficient,1,2,67.99999998747501
010010,efficient,1,3,1154.9999834959667
010010,efficient,1,4,484.99993345378743
010010,efficient,1,5,128.00001030667195
010010,efficient,1,6,199.86844269798905
010010,efficient,1,7,154.86171435615094
010010,efficient,1,8,97.85388179713475
010010,efficient,1,9,106.76889665868765
010010,efficient,1,10,55.200235849416266
010010,efficient,1,11,106.76880765789824
010010,efficient,1,12,289.9999385932083
010010,efficient,1,13,170.00011359227094
010010,efficient,1,14,14.218203099059886
010010,efficient,1,15,170.00000597300644
010010,efficient,2,1,0.0
010010,efficient,2,2,68.0
010010,efficient,2,3,1155.0
010010,efficient,2,4,485.0
010010,efficient,2,5,128.0
010010,efficient,2,6,0.0
010010,efficient,2,7,0.0
010010,efficient,2,8,0.0
010010,efficient,2,9,0.0
010010,efficient,2,10,0.0
010010,efficient,2,11,0.0
010010,efficient,2,12,290.0
010010,efficient,2,13,170.0
010010,efficient,2,14,0.0
010010,efficient,2,15,170.0
001010,efficient,1,1,160.00000000251538
001010,efficient,1,2,68.00000000253874
001010,efficient,1,3,1109.9918311681758
001010,efficient,1,4,484.9999988171549
001010,efficient,1,5,112.99733099029086
001010,efficient,1,6,199.99592267258038
001010,efficient,1,7,154.99801444656845
001010,efficient,1,8,97.85381765539651
001010,efficient,1,9,120.00000000244903
001010,efficient,1,10,55.20019965187705
001010,efficient,1,11,120.00000000244903
001010,efficient,1,12,289.9999990757435
001010,efficient,1,13,170.00000169999748
001010,efficient,1,14,14.218193783746733
001010,efficient,1,15,154.9977460559433
001010,efficient,2,1,160.0
001010,efficient,2,2,68.0
001010,efficient,2,3,0.0
001010,efficient,2,4,485.0
001010,efficient,2,5,0.0
001010,efficient,2,6,0.0
001010,efficient,2,7,0.0
001010,efficient,2,8,0.0
001010,efficient,2,9,120.0
001010,efficient,2,10,0.0
001010,efficient,2,11,120.0
001010,efficient,2,12,290.0
001010,efficient,2,13,170.0
001010,efficient,2,14,0.0
001010,efficient,2,15,0.0
101010,efficient,1,1,160.00000000250233
101010,efficient,1,2,65.34993658838533
101010,efficient,1,3,1109.9887810025784
101010,efficient,1,4,466.0541666797582
101010,efficient,1,5,112.99586357843594
101010,efficient,1,6,199.99521942191922
101010,efficient,1,7,154.9982125238877
101010,efficient,1,8,97.85361449300015
101010,efficient,1,9,120.00000000251022
101010,efficient,1,10,55.200084974661436
101010,efficient,1,11,120.00000000251022
101010,efficient,1,12,278.6901310309036
101010,efficient,1,13,139.99036379936436
101010,efficient,1,14,14.218164271399353
101010,efficient,1,15,154.99643056278012
101010,efficient,2,1,160.0
101010,efficient,2,2,0.0
101010,efficient,2,3,0.0
101010,efficient,2,4,0.0
101010,efficient,2,5,0.0
101010,efficient,2,6,0.0
101010,efficient,2,7,0.0
101010,efficient,2,8,117.0
101010,efficient,2,9,120.0
101010,efficient,2,10,66.0
101010,efficient,2,11,120.0
101010,efficient,2,12,0.0
101010,efficient,2,13,170.0
101010,efficient,2,14,17.0
101010,efficient,2,15,0.0
111010,efficient,1,1,142.36213225781833
111010,efficient,1,2,65.34544304623168
111010,efficient,1,3,1109.9116413555178
111010,efficient,1,4,466.0218362884061
111010,efficient,1,5,112.97088596728577
111010,efficient,1,6,199.9385163969962
111010,efficient,1,7,154.97412821911962
111010,efficient,1,8,97.85458083604082
111010,efficient,1,9,106.77244438860804
111010,efficient,1,10,55.20063015679425
111010,efficient,1,11,106.77244629695211
111010,efficient,1,12,278.6709376384007
111010,efficient,1,13,139.93506784082072
111010,efficient,1,14,14.218304670480505
111010,efficient,1,15,154.96440453253626
111010,efficient,2,1,160.0
111010,efficient,2,2,0.0
111010,efficient,2,3,0.0
111010,efficient,2,4,0.0
111010,efficient,2,5,0.0
111010,efficient,2,6,0.0
111010,efficient,2,7,0.0
111010,efficient,2,8,117.0
111010,efficient,2,9,120.0
111010,efficient,2,10,66.0
111010,efficient,2,11,120.0
111010,efficient,2,12,0.0
111010,efficient,2,13,170.0
111010,efficient,2,14,17.0
111010,efficient,2,15,0.0
000110,efficient,1,1,160.0000000025143
000110,efficient,1,2,67.99999998786649
000110,efficient,1,3,1109.9951076574305
000110,efficient,1,4,484.9999269724879
000110,efficient,1,5,112.9981531330646
000110,efficient,1,6,199.9969549958484
000110,efficient,1,7,154.99836982713865
000110,efficient,1,8,97.85357257563105
000110,efficient,1,9,120.00000000252335
000110,efficient,1,10,55.20006139941014
000110,efficient,1,11,120.00000000252335
000110,efficient,1,12,289.9999326303234
000110,efficient,1,13,170.0001246357664
000110,efficient,1,14,14.218158180731356
000110,efficient,1,15,154.99826878499138
000110,efficient,2,1,160.0
000110,efficient,2,2,68.0
000110,efficient,2,3,0.0
000110,efficient,2,4,485.0
000110,efficient,2,5,0.0
000110,efficient,2,6,0.0
000110,efficient,2,7,0.0
000110,efficient,2,8,0.0
000110,efficient,2,9,120.0
000110,efficient,2,10,0.0
000110,efficient,2,11,120.0
000110,efficient,2,12,290.0
000110,efficient,2,13,170.0
000110,efficient,2,14,0.0
000110,efficient,2,15,0.0
100110,efficient,1,1,160.00000000250205
100110,efficient,1,2,65.35023854119706
100110,efficient,1,3,1109.993407305298
100110,efficient,1,4,466.05633122986245
100110,efficient,1,5,112.9972465038679
100110,efficient,1,6,199.9967272673381
100110,efficient,1,7,154.9984177480185
100110,efficient,1,8,97.85322157297672
100110,efficient,1,9,120.00000000246555
100110,efficient,1,10,55.19986328844708
100110,efficient,1,11,120.00000000246555
100110,efficient,1,12,278.69142024652695
100110,efficient,1,13,139.99389230938482
100110,efficient,1,14,14.218107192388624
100110,efficient,1,15,154.99739203232488
100110,efficient,2,1,160.0
100110,efficient,2,2,0.0
100110,efficient,2,3,0.0
100110,efficient,2,4,0.0
100110,efficient,2,5,0.0
100110,efficient,2,6,0.0
100110,efficient,2,7,0.0
100110,efficient,2,8,117.0
100110,efficient,2,9,120.0
100110,efficient,2,10,66.0
100110,efficient,2,11,120.0
100110,efficient,2,12,0.0
100110,efficient,2,13,170.0
100110,efficient,2,14,17.0
100110,efficient,2,15,0.0
110110,efficient,1,1,142.3559013536104
110110,efficient,1,2,65.35021043306804
110110,efficient,1,3,1109.9928940894956
110110,efficient,1,4,466.05612983325193
110110,efficient,1,5,112.99703560304448
110110,efficient,1,6,199.86990885940565
110110,efficient,1,7,154.8631351085844
110110,efficient,1,8,97.85299483489256
110110,efficient,1,9,106.76777855457117
110110,efficient,1,10,55.199735407473355
110110,efficient,1,11,106.76768905203976
110110,efficient,1,12,278.69130016195174
110110,efficient,1,13,139.99356108976025
110110,efficient,1,14,14.218074253153164
110110,efficient,1,15,154.9972578188857
110110,efficient,2,1,160.0
110110,efficient,2,2,0.0
110110,efficient,2,3,0.0
110110,efficient,2,4,0.0
110110,efficient,2,5,0.0
110110,efficient,2,6,0.0
110110,efficient,2,7,0.0
110110,efficient,2,8,117.0
110110,efficient,2,9,120.0
110110,efficient,2,10,66.0
110110,efficient,2,11,120.0
110110,efficient,2,12,0.0
110110,efficient,2,13,170.0
110110,efficient,2,14,17.0
110110,efficient,2,15,0.0
000001,efficient,1,1,160.00000160010876
000001,efficient,1,2,67.99999887892822
000001,efficient,1,3,1154.9999889545131
000001,efficient,1,4,484.99977960314385
000001,efficient,1,5,128.00000906848058
000001,efficient,1,6,229.99999648364224
000001,efficient,1,7,170.00000323966694
000001,efficient,1,8,97.85445776912951
000001,efficient,1,9,119.99979358768596
000001,efficient,1,10,55.20056063220995
000001,efficient,1,11,120.00000119999264
000001,efficient,1,12,290.00000289823555
000001,efficient,1,13,170.00037237060508
000001,efficient,1,14,14.21828678242187
000001,efficient,1,15,170.000001699992
000001,efficient,2,1,160.0
000001,efficient,2,2,68.0
000001,efficient,2,3,1155.0
000001,efficient,2,4,485.0
000001,efficient,2,5,128.0
000001,efficient,2,6,230.0
000001,efficient,2,7,170.0
000001,efficient,2,8,0.0
000001,efficient,2,9,120.0
000001,efficient,2,10,0.0
000001,efficient,2,11,120.0
000001,efficient,2,12,290.0
000001,efficient,2,13,170.0
000001,efficient,2,14,0.0
000001,efficient,2,15,170.0
100001,efficient,1,1,160.00031107751505
100001,efficient,1,2,68.00000067980888
100001,efficient,1,3,1155.000011548544
100001,efficient,1,4,484.9994512325594
100001,efficient,1,5,128.00017917269759
100001,efficient,1,6,229.99999643390103
100001,efficient,1,7,170.00000328543476
100001,efficient,1,8,97.85445777103446
100001,efficient,1,9,120.00000120023296
100001,efficient,1,10,55.20056063328458
100001,efficient,1,11,119.99999607711311
100001,efficient,1,12,290.0007368420417
100001,efficient,1,13,170.0000017026436
100001,efficient,1,14,14.218286782698705
100001,efficient,1,15,169.99916011342034
100001,efficient,2,1,160.0
100001,efficient,2,2,68.0
100001,efficient,2,3,1155.0
100001,efficient,2,4,485.0
100001,efficient,2,5,128.0
100001,efficient,2,6,230.0
100001,efficient,2,7,170.0
100001,efficient,2,8,0.0
100001,efficient,2,9,120.0
100001,efficient,2,10,0.0
100001,efficient,2,11,120.0
100001,efficient,2,12,290.0
100001,efficient,2,13,170.0
100001,efficient,2,14,0.0
100001,efficient,2,15,170.0
110001,efficient,1,1,142.34955240462872
110001,efficient,1,2,65.35010210392413
110001,efficient,1,3,1109.9882779874852
110001,efficient,1,4,466.05535695224455
110001,efficient,1,5,112.9946680102108
110001,efficient,1,6,229.99999651880339
110001,efficient,1,7,170.00000323866615
110001,efficient,1,8,97.85370939610603
110001,efficient,1,9,106.76301279732596
110001,efficient,1,10,55.20013842879287
110001,efficient,1,11,106.76301080264612
110001,efficient,1,12,278.6908380684182
110001,efficient,1,13,139.9915052105729
110001,efficient,1,14,14.218178065741002
110001,efficient,1,15,154.99548857127155
110001,efficient,2,1,160.0
110001,efficient,2,2,0.0
110001,efficient,2,3,0.0
110001,efficient,2,4,0.0
110001,efficient,2,5,128.0
110001,efficient,2,6,230.0
110001,efficient,2,7,170.0
110001,efficient,2,8,0.0
110001,efficient,2,9,120.0
110001,efficient,2,10,0.0
110001,efficient,2,11,120.0
110001,efficient,2,12,0.0
110001,efficient,2,13,0.0
110001,efficient,2,14,0.0
110001,efficient,2,15,170.0
001001,efficient,1,1,159.99986860803875
001001,efficient,1,2,68.00005113649726
001001,efficient,1,3,1154.9985252641036
001001,efficient,1,4,485.00001426486216
001001,efficient,1,5,128.00048436100712
001001,efficient,1,6,230.00031279930167
001001,efficient,1,7,170.00031429540485
001001,efficient,1,8,97.85445913693951
