Voltage Diagnostic: ieee123_aw_mod / efficiency
============================================================

Source generator: gen 1, bus 58
  vg (math_mld): [0.00103, 0.00103, 0.00103]
  vg (math_ac):  [0.00103, 0.00103, 0.00103]


Per-Bus Voltage Comparison (MLD w→√w vs ACPF vm)
--------------------------------------------------------------------------------
   Bus  Name            MLD_V1  MLD_V2  MLD_V3     AC_V1   AC_V2   AC_V3       ΔV1     ΔV2     ΔV3
    75  6                  0.0     0.0  1.0211       0.0     0.0   1.021       0.0     0.0 -0.0001
    76  84                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    77  80                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    78  104                0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    79  98                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    80  113                0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    81  110                0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    82  70                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    83  14               1.013     0.0     0.0    1.0125     0.0     0.0   -0.0005     0.0     0.0
    84  7               1.0191  1.0285  1.0215    1.0187  1.0285  1.0214   -0.0004     0.0 -0.0001
    85  96                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    86  57                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    87  8               1.0161   1.028  1.0194    1.0156   1.028  1.0192   -0.0005  0.0001 -0.0002
    88  300                0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    89  64                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    90  19              1.0021     0.0     0.0    1.0012     0.0     0.0   -0.0008     0.0     0.0
    91  91                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    92  107                0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    93  102                0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    94  69                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    95  60                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    96  97                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
    97  4                  0.0     0.0  1.0225       0.0     0.0  1.0224       0.0     0.0 -0.0001
    98  22                 0.0  1.0219     0.0       0.0   1.022     0.0       0.0  0.0001     0.0
    99  11              1.0124     0.0     0.0    1.0119     0.0     0.0   -0.0005     0.0     0.0
   100  35              1.0005  1.0208   1.008    0.9996  1.0209  1.0078   -0.0009  0.0001 -0.0002
   101  13              1.0126  1.0269  1.0163     1.012   1.027  1.0161   -0.0006  0.0001 -0.0002
   102  197                0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
   103  15                 0.0     0.0  1.0149       0.0     0.0  1.0147       0.0     0.0 -0.0002
   104  61                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
   105  67                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
   106  108                0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
   107  16                 0.0     0.0  1.0139       0.0     0.0  1.0137       0.0     0.0 -0.0002
   108  100                0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
   109  40               0.999  1.0197  1.0069    0.9981  1.0198  1.0067   -0.0009  0.0001 -0.0003
   110  38                 0.0  1.0197     0.0       0.0  1.0198     0.0       0.0  0.0001     0.0
   111  46              0.9954     0.0     0.0    0.9944     0.0     0.0   -0.0009     0.0     0.0
   112  72                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
   113  21              1.0028  1.0232  1.0078     1.002  1.0233  1.0076   -0.0008  0.0001 -0.0002
   114  83                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
   115  151             0.9948  1.0164  1.0035    0.9939  1.0166  1.0033   -0.0009  0.0002 -0.0003
   116  45              0.9958     0.0     0.0    0.9948     0.0     0.0   -0.0009     0.0     0.0
   117  68                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
   118  56                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
   119  95                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
   120  66                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
   121  76                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
   122  36              0.9995  1.0203     0.0    0.9986  1.0204     0.0   -0.0009  0.0001     0.0
   123  85                 0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
   124  135             1.0034  1.0232   1.009    1.0026  1.0233  1.0088   -0.0008  0.0001 -0.0002
   125  48               0.995  1.0166   1.004     0.994  1.0167  1.0037   -0.0009  0.0002 -0.0003
   126  103                0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
   127  18              1.0034  1.0232   1.009    1.0026  1.0233  1.0088   -0.0008  0.0001 -0.0002
   128  150r              1.03    1.03    1.03      1.03    1.03    1.03      -0.0    -0.0    -0.0
   129  3                  0.0     0.0   1.023       0.0     0.0  1.0229       0.0     0.0 -0.0001
   130  _virtual_bus.switch.sw6       0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
   131  _virtual_bus.switch.sw4       0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
   132  _virtual_bus.switch.sw2       0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
   133  _virtual_bus.switch.sw1      1.03    1.03    1.03      1.03    1.03    1.03      -0.0    -0.0    -0.0
   134  _virtual_bus.switch.sw3    1.0034  1.0232   1.009    1.0026  1.0233  1.0088   -0.0008  0.0001 -0.0002
   135  _virtual_bus.switch.sw5       0.0     0.0     0.0       0.0     0.0     0.0       0.0     0.0     0.0
   136  _virtual_bus.transformer.reg2_2    1.0147     0.0     0.0    1.0142     0.0     0.0   -0.0005     0.0     0.0
   137  _virtual_bus.transformer.reg2_1    1.0147     0.0     0.0    1.0142     0.0     0.0   -0.0005     0.0     0.0
   138  _virtual_bus.transformer.reg1a_2      1.03    1.03    1.03      1.03    1.03    1.03      -0.0    -0.0    -0.0
   139  _virtual_bus.transformer.reg1a_1      1.03    1.03    1.03      1.03    1.03    1.03       0.0     0.0     0.0


Load Setpoint Comparison (MLD pd vs math_ac pd)
------------------------------------------------------------
  Load 1: MLD pd=[40.0]  AC pd=[40.0]
  Load 2: MLD pd=[0.0]  AC pd=[0.0]
  Load 3: MLD pd=[0.0]  AC pd=[0.0]
  Load 4: MLD pd=[0.0]  AC pd=[0.0]
  Load 5: MLD pd=[0.0, 0.0]  AC pd=[0.0, 0.0]
  Load 6: MLD pd=[0.0]  AC pd=[0.0]
  Load 7: MLD pd=[0.0]  AC pd=[0.0]
  Load 8: MLD pd=[0.0]  AC pd=[0.0]
  Load 9: MLD pd=[0.0]  AC pd=[0.0]
  Load 10: MLD pd=[40.0]  AC pd=[40.0]
  Load 11: MLD pd=[40.0]  AC pd=[40.0]
  Load 12: MLD pd=[0.0]  AC pd=[0.0]
  Load 13: MLD pd=[40.0]  AC pd=[40.0]
  Load 14: MLD pd=[40.0]  AC pd=[40.0]
  Load 15: MLD pd=[0.0]  AC pd=[0.0]
  Load 16: MLD pd=[0.0]  AC pd=[0.0]
  Load 17: MLD pd=[0.0]  AC pd=[0.0]
  Load 18: MLD pd=[20.0]  AC pd=[20.0]
  Load 19: MLD pd=[40.0]  AC pd=[40.0]
  Load 20: MLD pd=[20.0]  AC pd=[20.0]
  Load 21: MLD pd=[40.0]  AC pd=[40.0]
  Load 22: MLD pd=[20.0]  AC pd=[20.0]
  Load 23: MLD pd=[0.0]  AC pd=[0.0]
  Load 24: MLD pd=[20.0, 20.0]  AC pd=[20.0, 20.0]
  Load 25: MLD pd=[0.0]  AC pd=[0.0]
  Load 26: MLD pd=[0.0]  AC pd=[0.0]
  Load 27: MLD pd=[0.0, 0.0]  AC pd=[0.0, 0.0]
  Load 28: MLD pd=[70.0, 70.0, 70.0]  AC pd=[70.0, 70.0, 70.0]
  Load 29: MLD pd=[0.0]  AC pd=[0.0]
  Load 30: MLD pd=[0.0, 0.0]  AC pd=[0.0, 0.0]
  Load 31: MLD pd=[20.0]  AC pd=[20.0]
  Load 32: MLD pd=[0.0]  AC pd=[0.0]
  Load 33: MLD pd=[40.0]  AC pd=[40.0]
  Load 34: MLD pd=[0.0]  AC pd=[0.0]
  Load 35: MLD pd=[40.0]  AC pd=[40.0]
  Load 36: MLD pd=[0.0]  AC pd=[0.0]
  Load 37: MLD pd=[20.0]  AC pd=[20.0]
  Load 38: MLD pd=[0.0]  AC pd=[0.0]
  Load 39: MLD pd=[20.0]  AC pd=[20.0]
  Load 40: MLD pd=[0.0]  AC pd=[0.0]
  Load 41: MLD pd=[20.0]  AC pd=[20.0]
  Load 42: MLD pd=[40.0]  AC pd=[40.0]
  Load 43: MLD pd=[0.0]  AC pd=[0.0]
  Load 44: MLD pd=[0.0]  AC pd=[0.0]
  Load 45: MLD pd=[40.0]  AC pd=[40.0]
  Load 46: MLD pd=[0.0, 0.0]  AC pd=[0.0, 0.0]
  Load 47: MLD pd=[0.0]  AC pd=[0.0]
  Load 48: MLD pd=[40.0]  AC pd=[40.0]
  Load 49: MLD pd=[0.0, 0.0]  AC pd=[0.0, 0.0]
  Load 50: MLD pd=[0.0]  AC pd=[0.0]
  Load 51: MLD pd=[20.0]  AC pd=[20.0]
  Load 52: MLD pd=[0.0]  AC pd=[0.0]
  Load 53: MLD pd=[20.0]  AC pd=[20.0]
  Load 54: MLD pd=[20.0]  AC pd=[20.0]
  Load 55: MLD pd=[0.0]  AC pd=[0.0]
  Load 56: MLD pd=[0.0]  AC pd=[0.0]
  Load 57: MLD pd=[0.0]  AC pd=[0.0]
  Load 58: MLD pd=[40.0]  AC pd=[40.0]
  Load 59: MLD pd=[0.0]  AC pd=[0.0]
  Load 60: MLD pd=[0.0]  AC pd=[0.0]
  Load 61: MLD pd=[0.0]  AC pd=[0.0]
  Load 62: MLD pd=[0.0]  AC pd=[0.0]
  Load 63: MLD pd=[20.0]  AC pd=[20.0]
  Load 64: MLD pd=[0.0]  AC pd=[0.0]
  Load 65: MLD pd=[0.0]  AC pd=[0.0]
  Load 66: MLD pd=[0.0]  AC pd=[0.0]
  Load 67: MLD pd=[20.0]  AC pd=[20.0]
  Load 68: MLD pd=[35.0, 35.0, 35.0]  AC pd=[35.0, 35.0, 35.0]
  Load 69: MLD pd=[0.0]  AC pd=[0.0]
  Load 70: MLD pd=[20.0]  AC pd=[20.0]
  Load 71: MLD pd=[0.0]  AC pd=[0.0]
  Load 72: MLD pd=[35.0]  AC pd=[35.0]
  Load 73: MLD pd=[0.0, 0.0]  AC pd=[0.0, 0.0]
  Load 74: MLD pd=[20.0]  AC pd=[20.0]
  Load 75: MLD pd=[40.0]  AC pd=[40.0]
  Load 76: MLD pd=[0.0]  AC pd=[0.0]
  Load 77: MLD pd=[0.0]  AC pd=[0.0]
  Load 78: MLD pd=[0.0]  AC pd=[0.0]
  Load 79: MLD pd=[40.0]  AC pd=[40.0]
  Load 80: MLD pd=[0.0]  AC pd=[0.0]
  Load 81: MLD pd=[40.0]  AC pd=[40.0]
  Load 82: MLD pd=[0.0]  AC pd=[0.0]
  Load 83: MLD pd=[40.0]  AC pd=[40.0]
  Load 84: MLD pd=[35.0]  AC pd=[35.0]
  Load 85: MLD pd=[0.0]  AC pd=[0.0]
  Load 86: MLD pd=[70.0]  AC pd=[70.0]
  Load 87: MLD pd=[40.0]  AC pd=[40.0]
  Load 88: MLD pd=[0.0]  AC pd=[0.0]
  Load 89: MLD pd=[0.0]  AC pd=[0.0]
  Load 90: MLD pd=[0.0]  AC pd=[0.0]
  Load 91: MLD pd=[20.0]  AC pd=[20.0]


MLD termination: OPTIMAL
ACPF termination: LOCALLY_SOLVED
