config_bits,load_id,pshed
001001,7,170.0
001001,8,0.0
001001,9,120.0
001001,10,0.0
001001,11,120.0
001001,12,290.0
001001,13,170.0
001001,14,0.0
001001,15,170.0
001010,1,160.0
001010,2,68.0
001010,3,0.0
001010,4,485.0
001010,5,0.0
001010,6,0.0
001010,7,0.0
001010,8,0.0
001010,9,120.0
001010,10,0.0
001010,11,120.0
001010,12,290.0
001010,13,170.0
001010,14,0.0
001010,15,0.0
001011,1,160.0
001011,2,68.0
001011,3,0.0
001011,4,485.0
001011,5,0.0
001011,6,0.0
001011,7,0.0
001011,8,0.0
001011,9,120.0
001011,10,0.0
001011,11,120.0
001011,12,290.0
001011,13,170.0
001011,14,0.0
001011,15,0.0
001100,1,160.0
001100,2,68.0
001100,3,0.0
001100,4,485.0
001100,5,0.0
001100,6,0.0
001100,7,0.0
001100,8,0.0
001100,9,120.0
001100,10,0.0
001100,11,120.0
001100,12,290.0
001100,13,170.0
001100,14,0.0
001100,15,0.0
010000,1,0.0
010000,2,68.0
010000,3,1155.0
010000,4,485.0
010000,5,128.0
010000,6,230.0
010000,7,170.0
010000,8,0.0
010000,9,0.0
010000,10,0.0
010000,11,0.0
010000,12,290.0
010000,13,170.0
010000,14,0.0
010000,15,170.0
010001,1,0.0
010001,2,0.0
010001,3,1155.0
010001,4,0.0
010001,5,128.0
010001,6,230.0
010001,7,170.0
010001,8,0.0
010001,9,0.0
010001,10,0.0
010001,11,0.0
010001,12,0.0
010001,13,0.0
010001,14,0.0
010001,15,170.0
010010,1,0.0
010010,2,68.0
010010,3,1155.0
010010,4,485.0
010010,5,128.0
010010,6,0.0
010010,7,0.0
010010,8,0.0
010010,9,0.0
010010,10,0.0
010010,11,0.0
010010,12,290.0
010010,13,170.0
010010,14,0.0
010010,15,170.0
010011,1,0.0
010011,2,0.0
010011,3,1155.0
010011,4,0.0
010011,5,128.0
010011,6,0.0
010011,7,0.0
010011,8,0.0
010011,9,0.0
010011,10,0.0
010011,11,0.0
010011,12,0.0
010011,13,0.0
010011,14,0.0
010011,15,170.0
010100,1,0.0
010100,2,68.0
010100,3,0.0
010100,4,485.0
010100,5,0.0
010100,6,230.0
010100,7,170.0
010100,8,0.0
010100,9,0.0
010100,10,0.0
010100,11,0.0
010100,12,290.0
010100,13,170.0
010100,14,0.0
010100,15,0.0
010101,1,0.0
010101,2,0.0
010101,3,0.0
010101,4,0.0
010101,5,128.0
010101,6,230.0
010101,7,170.0
010101,8,0.0
010101,9,0.0
010101,10,0.0
010101,11,0.0
010101,12,0.0
010101,13,170.0
010101,14,0.0
010101,15,0.0
010110,1,0.0
010110,2,68.0
010110,3,0.0
010110,4,485.0
010110,5,0.0
010110,6,0.0
010110,7,170.0
010110,8,0.0
010110,9,0.0
010110,10,0.0
010110,11,0.0
010110,12,290.0
010110,13,170.0
010110,14,0.0
010110,15,0.0
011000,1,0.0
011000,2,68.0
011000,3,1155.0
011000,4,485.0
011000,5,128.0
011000,6,230.0
011000,7,170.0
011000,8,0.0
011000,9,0.0
011000,10,0.0
011000,11,0.0
011000,12,290.0
011000,13,170.0
011000,14,0.0
011000,15,170.0
011001,1,0.0
011001,2,0.0
011001,3,1155.0
011001,4,0.0
011001,5,128.0
011001,6,230.0
011001,7,170.0
011001,8,0.0
011001,9,0.0
011001,10,0.0
011001,11,0.0
011001,12,0.0
011001,13,0.0
011001,14,0.0
011001,15,170.0
011100,1,0.0
011100,2,68.0
011100,3,0.0
011100,4,485.0
011100,5,0.0
011100,6,0.0
011100,7,170.0
011100,8,0.0
011100,9,0.0
011100,10,0.0
011100,11,0.0
011100,12,290.0
011100,13,170.0
011100,14,0.0
011100,15,0.0
011101,1,160.0
011101,2,0.0
011101,3,0.0
011101,4,0.0
011101,5,0.0
011101,6,0.0
011101,7,0.0
011101,8,117.0
011101,9,120.0
011101,10,66.0
011101,11,120.0
011101,12,0.0
011101,13,0.0
011101,14,17.0
011101,15,0.0
100000,1,160.0
100000,2,68.0
100000,3,1155.0
100000,4,485.0
100000,5,128.0
100000,6,230.0
100000,7,170.0
100000,8,0.0
100000,9,120.0
100000,10,0.0
100000,11,120.0
100000,12,290.0
100000,13,170.0
100000,14,0.0
100000,15,170.0
100001,1,160.0
100001,2,68.0
100001,3,1155.0
100001,4,485.0
100001,5,128.0
100001,6,230.0
100001,7,170.0
100001,8,0.0
100001,9,120.0
100001,10,0.0
100001,11,120.0
100001,12,290.0
100001,13,170.0
100001,14,0.0
100001,15,170.0
100010,1,160.0
100010,2,68.0
100010,3,1155.0
100010,4,485.0
100010,5,128.0
100010,6,0.0
100010,7,0.0
100010,8,0.0
100010,9,120.0
100010,10,0.0
100010,11,120.0
100010,12,290.0
100010,13,170.0
100010,14,0.0
100010,15,170.0
100011,1,160.0
100011,2,68.0
100011,3,1155.0
100011,4,485.0
100011,5,128.0
100011,6,0.0
100011,7,0.0
100011,8,0.0
100011,9,120.0
100011,10,0.0
100011,11,120.0
100011,12,290.0
100011,13,170.0
100011,14,0.0
100011,15,170.0
100101,1,0.0
100101,2,0.0
100101,3,0.0
100101,4,0.0
100101,5,128.0
100101,6,230.0
100101,7,170.0
100101,8,0.0
100101,9,0.0
100101,10,0.0
100101,11,0.0
100101,12,0.0
100101,13,170.0
100101,14,0.0
100101,15,0.0
100110,1,160.0
100110,2,0.0
100110,3,0.0
100110,4,0.0
100110,5,0.0
100110,6,0.0
100110,7,0.0
100110,8,117.0
100110,9,120.0
100110,10,66.0
100110,11,120.0
100110,12,0.0
100110,13,0.0
100110,14,17.0
100110,15,0.0
101000,1,160.0
101000,2,68.0
101000,3,1155.0
101000,4,485.0
101000,5,128.0
101000,6,230.0
101000,7,170.0
101000,8,0.0
101000,9,120.0
101000,10,0.0
101000,11,120.0
101000,12,290.0
101000,13,170.0
101000,14,0.0
101000,15,170.0
101001,1,160.0
101001,2,68.0
101001,3,1155.0
101001,4,485.0
101001,5,128.0
101001,6,230.0
101001,7,170.0
101001,8,0.0
101001,9,120.0
101001,10,0.0
101001,11,120.0
101001,12,290.0
101001,13,170.0
101001,14,0.0
101001,15,170.0
101010,1,160.0
101010,2,0.0
101010,3,0.0
101010,4,0.0
101010,5,0.0
101010,6,0.0
101010,7,0.0
101010,8,117.0
101010,9,120.0
101010,10,66.0
101010,11,120.0
101010,12,0.0
101010,13,0.0
101010,14,17.0
101010,15,0.0
101011,1,160.0
101011,2,0.0
101011,3,0.0
101011,4,0.0
101011,5,0.0
101011,6,0.0
101011,7,0.0
101011,8,117.0
101011,9,120.0
101011,10,66.0
101011,11,120.0
101011,12,0.0
101011,13,0.0
101011,14,17.0
101011,15,0.0
110000,1,0.0
110000,2,68.0
110000,3,1155.0
110000,4,485.0
110000,5,128.0
110000,6,230.0
110000,7,170.0
110000,8,0.0
110000,9,0.0
110000,10,0.0
110000,11,0.0
110000,12,290.0
110000,13,170.0
110000,14,0.0
110000,15,170.0
110010,1,0.0
110010,2,68.0
110010,3,1155.0
110010,4,485.0
110010,5,128.0
110010,6,0.0
110010,7,0.0
110010,8,0.0
110010,9,0.0
110010,10,0.0
110010,11,0.0
110010,12,290.0
110010,13,170.0
110010,14,0.0
110010,15,170.0
110011,1,160.0
110011,2,0.0
110011,3,0.0
110011,4,0.0
110011,5,0.0
110011,6,0.0
110011,7,0.0
110011,8,117.0
110011,9,120.0
110011,10,66.0
110011,11,120.0
110011,12,0.0
110011,13,0.0
110011,14,17.0
110011,15,0.0
111000,1,0.0
111000,2,68.0
111000,3,1155.0
111000,4,485.0
111000,5,128.0
111000,6,230.0
111000,7,170.0
111000,8,0.0
111000,9,0.0
111000,10,0.0
111000,11,0.0
111000,12,290.0
111000,13,170.0
111000,14,0.0
111000,15,170.0
